n:1 mse_avg:23.12 mse_y:45.26 mse_u:1.10 mse_v:0.85 psnr_avg:46.56 psnr_y:43.64 psnr_u:59.78 psnr_v:60.90 
n:2 mse_avg:19.26 mse_y:37.60 mse_u:1.02 mse_v:0.82 psnr_avg:47.35 psnr_y:44.45 psnr_u:60.13 psnr_v:61.08 
n:3 mse_avg:20.27 mse_y:39.13 mse_u:1.46 mse_v:1.37 psnr_avg:47.13 psnr_y:44.27 psnr_u:58.55 psnr_v:58.84 
n:4 mse_avg:21.16 mse_y:40.88 mse_u:1.46 mse_v:1.40 psnr_avg:46.94 psnr_y:44.08 psnr_u:58.56 psnr_v:58.73 
n:5 mse_avg:24.93 mse_y:48.44 mse_u:1.46 mse_v:1.40 psnr_avg:46.23 psnr_y:43.35 psnr_u:58.56 psnr_v:58.73 
n:6 mse_avg:20.20 mse_y:39.00 mse_u:1.43 mse_v:1.36 psnr_avg:47.14 psnr_y:44.29 psnr_u:58.64 psnr_v:58.86 
n:7 mse_avg:19.89 mse_y:38.41 mse_u:1.41 mse_v:1.33 psnr_avg:47.21 psnr_y:44.35 psnr_u:58.72 psnr_v:58.94 
n:8 mse_avg:20.33 mse_y:39.28 mse_u:1.42 mse_v:1.36 psnr_avg:47.12 psnr_y:44.26 psnr_u:58.66 psnr_v:58.87 
n:9 mse_avg:22.99 mse_y:44.57 mse_u:1.45 mse_v:1.39 psnr_avg:46.58 psnr_y:43.71 psnr_u:58.60 psnr_v:58.76 
n:10 mse_avg:20.04 mse_y:38.91 mse_u:1.21 mse_v:1.15 psnr_avg:47.18 psnr_y:44.30 psnr_u:59.39 psnr_v:59.58 
n:11 mse_avg:18.90 mse_y:36.63 mse_u:1.19 mse_v:1.13 psnr_avg:47.43 psnr_y:44.56 psnr_u:59.44 psnr_v:59.66 
n:12 mse_avg:20.08 mse_y:38.99 mse_u:1.20 mse_v:1.14 psnr_avg:47.17 psnr_y:44.29 psnr_u:59.42 psnr_v:59.62 
n:13 mse_avg:23.38 mse_y:45.43 mse_u:1.35 mse_v:1.29 psnr_avg:46.51 psnr_y:43.62 psnr_u:58.88 psnr_v:59.08 
