n:39 mse_avg:81.77 mse_y:112.65 mse_u:24.83 mse_v:76.94 psnr_avg:41.07 psnr_y:39.68 psnr_u:46.25 psnr_v:41.34 
n:40 mse_avg:90.56 mse_y:126.54 mse_u:26.26 mse_v:82.91 psnr_avg:40.63 psnr_y:39.18 psnr_u:46.01 psnr_v:41.01 
n:41 mse_avg:117.19 mse_y:166.51 mse_u:27.56 mse_v:108.18 psnr_avg:39.51 psnr_y:37.98 psnr_u:45.79 psnr_v:39.86 
n:42 mse_avg:135.99 mse_y:197.14 mse_u:29.77 mse_v:119.90 psnr_avg:38.86 psnr_y:37.25 psnr_u:45.46 psnr_v:39.41 
n:43 mse_avg:100.22 mse_y:148.11 mse_u:24.53 mse_v:80.14 psnr_avg:40.19 psnr_y:38.49 psnr_u:46.30 psnr_v:41.16 
n:44 mse_avg:92.62 mse_y:137.72 mse_u:24.47 mse_v:70.56 psnr_avg:40.53 psnr_y:38.81 psnr_u:46.31 psnr_v:41.71 
n:45 mse_avg:98.10 mse_y:144.69 mse_u:24.98 mse_v:78.06 psnr_avg:40.28 psnr_y:38.59 psnr_u:46.22 psnr_v:41.27 
n:46 mse_avg:111.72 mse_y:163.75 mse_u:28.35 mse_v:91.04 psnr_avg:39.72 psnr_y:38.06 psnr_u:45.67 psnr_v:40.61 
n:47 mse_avg:104.19 mse_y:155.49 mse_u:26.57 mse_v:79.21 psnr_avg:40.02 psnr_y:38.28 psnr_u:45.95 psnr_v:41.21 
n:48 mse_avg:107.47 mse_y:158.47 mse_u:27.28 mse_v:85.65 psnr_avg:39.88 psnr_y:38.20 psnr_u:45.84 psnr_v:40.87 
n:49 mse_avg:120.48 mse_y:180.00 mse_u:27.64 mse_v:94.29 psnr_avg:39.39 psnr_y:37.64 psnr_u:45.78 psnr_v:40.45 
n:50 mse_avg:139.28 mse_y:206.60 mse_u:30.14 mse_v:113.80 psnr_avg:38.76 psnr_y:37.05 psnr_u:45.41 psnr_v:39.64 
n:51 mse_avg:135.16 mse_y:202.72 mse_u:28.24 mse_v:106.95 psnr_avg:38.89 psnr_y:37.13 psnr_u:45.69 psnr_v:39.91 
n:52 mse_avg:137.15 mse_y:203.61 mse_u:29.54 mse_v:111.82 psnr_avg:38.83 psnr_y:37.11 psnr_u:45.49 psnr_v:39.71 
n:53 mse_avg:173.31 mse_y:256.84 mse_u:31.24 mse_v:148.34 psnr_avg:37.81 psnr_y:36.10 psnr_u:45.25 psnr_v:38.48 
n:54 mse_avg:193.68 mse_y:289.39 mse_u:33.26 mse_v:162.68 psnr_avg:37.33 psnr_y:35.58 psnr_u:44.98 psnr_v:38.08 
n:55 mse_avg:177.74 mse_y:258.75 mse_u:34.78 mse_v:158.69 psnr_avg:37.70 psnr_y:36.07 psnr_u:44.78 psnr_v:38.19 
n:56 mse_avg:182.44 mse_y:260.63 mse_u:37.02 mse_v:171.46 psnr_avg:37.59 psnr_y:36.04 psnr_u:44.51 psnr_v:37.86 
n:57 mse_avg:216.47 mse_y:300.75 mse_u:43.33 mse_v:221.04 psnr_avg:36.84 psnr_y:35.42 psnr_u:43.83 psnr_v:36.75 
n:58 mse_avg:233.97 mse_y:322.66 mse_u:46.22 mse_v:244.34 psnr_avg:36.51 psnr_y:35.11 psnr_u:43.55 psnr_v:36.32 
n:59 mse_avg:180.89 mse_y:248.68 mse_u:45.99 mse_v:180.19 psnr_avg:37.62 psnr_y:36.24 psnr_u:43.57 psnr_v:37.64 
n:60 mse_avg:192.23 mse_y:261.41 mse_u:51.23 mse_v:194.86 psnr_avg:37.36 psnr_y:36.02 psnr_u:43.10 psnr_v:37.30 
n:61 mse_avg:198.47 mse_y:270.37 mse_u:53.63 mse_v:199.53 psnr_avg:37.22 psnr_y:35.88 psnr_u:42.90 psnr_v:37.20 
n:62 mse_avg:216.23 mse_y:293.42 mse_u:59.39 mse_v:218.69 psnr_avg:36.85 psnr_y:35.52 psnr_u:42.46 psnr_v:36.80 
n:63 mse_avg:200.01 mse_y:276.30 mse_u:56.43 mse_v:191.02 psnr_avg:37.19 psnr_y:35.78 psnr_u:42.68 psnr_v:37.39 
n:64 mse_avg:202.71 mse_y:279.07 mse_u:57.96 mse_v:194.76 psnr_avg:37.13 psnr_y:35.74 psnr_u:42.57 psnr_v:37.30 
n:65 mse_avg:206.12 mse_y:285.77 mse_u:58.19 mse_v:194.74 psnr_avg:37.06 psnr_y:35.64 psnr_u:42.55 psnr_v:37.30 
n:66 mse_avg:213.09 mse_y:294.67 mse_u:60.23 mse_v:202.81 psnr_avg:36.91 psnr_y:35.50 psnr_u:42.40 psnr_v:37.13 
n:67 mse_avg:196.27 mse_y:275.18 mse_u:56.50 mse_v:178.22 psnr_avg:37.27 psnr_y:35.80 psnr_u:42.68 psnr_v:37.69 
n:68 mse_avg:193.42 mse_y:269.91 mse_u:56.98 mse_v:176.89 psnr_avg:37.33 psnr_y:35.89 psnr_u:42.64 psnr_v:37.72 
n:69 mse_avg:193.53 mse_y:272.01 mse_u:55.87 mse_v:174.20 psnr_avg:37.33 psnr_y:35.85 psnr_u:42.73 psnr_v:37.79 
n:70 mse_avg:203.60 mse_y:286.90 mse_u:57.98 mse_v:182.63 psnr_avg:37.11 psnr_y:35.62 psnr_u:42.56 psnr_v:37.58 
n:71 mse_avg:180.18 mse_y:257.39 mse_u:53.92 mse_v:152.01 psnr_avg:37.64 psnr_y:36.09 psnr_u:42.88 psnr_v:38.38 
n:72 mse_avg:174.65 mse_y:249.36 mse_u:53.23 mse_v:146.63 psnr_avg:37.78 psnr_y:36.23 psnr_u:42.94 psnr_v:38.54 
